station_name,station_number,lat,lon,elev_m,utc_offset,koeppen,climate_region,tract_geoid10,urbanicity,cbsa_code,cbsa_name,lsad10
IL_QUINCY-RGNL-BALDWIN-FLD-AP,724430,39.937,-91.197,231,-6,Dfa,Cold & Very Cold,17001010400,rural,39500,"Quincy, IL-MO Micro Area",M2
IL_RANTOUL-FRANK-ELL,722194,40.293,-88.142,224,-6,Dfa,Cold & Very Cold,17019010300,suburban/small town,16580,"Champaign-Urbana, IL Metro Area",M1
IL_ROBINSON,720319,39.016,-87.65,140,-6,Cfa,Mixed-Humid,17033880500,rural,,,
IL_ROCHELLE-AP,722182,41.893,-89.078,238,-6,Dfa,Cold & Very Cold,17141961600,rural,40300,"Rochelle, IL Micro Area",M2
IL_SALEM-LECKRONE,724330,38.65,-88.967,173,-6,Cfa,Mixed-Humid,17121951600,rural,16460,"Centralia, IL Micro Area",M2
IL_SAVANNA-TRI-TOWNSHI,722204,42.046,-90.108,187,-6,Dfa,Cold & Very Cold,17015960200,rural,,,
IL_SOUTHERN-ILLINOIS,724336,37.783,-89.245,122,-6,Cfa,Mixed-Humid,17077010800,suburban/small town,16060,"Carbondale, IL Micro Area",M2
IL_SPARTA,744653,38.149,-89.699,164,-6,Cfa,Mixed-Humid,17157950600,rural,,,
IL_ST-LOUIS-RGNL-AP,724395,38.883,-90.05,165,-6,Cfa,Mixed-Humid,17119401901,suburban/small town,41180,"St. Louis, MO-IL Metro Area",M1
IL_STERLING-ROCKFALLS,725326,41.743,-89.676,197,-6,Dfa,Cold & Very Cold,17195001800,rural,44580,"Sterling, IL Micro Area",M2
IL_TAYLORSVILLE,744662,39.534,-89.328,189,-6,Dfa,Mixed-Humid,17021959000,rural,45380,"Taylorville, IL Micro Area",M2
IL_UNIV-OF-ILLINOIS-WI,725315,40.032,-88.275,226,-6,Dfa,Cold & Very Cold,17019010900,suburban/small town,16580,"Champaign-Urbana, IL Metro Area",M1
IL_VERMILION-CO,722076,40.2,-87.6,202,-6,Dfa,Cold & Very Cold,17183010400,rural,19180,"Danville, IL Metro Area",M1
IL_W-CHICAGO-DUPAGE,725305,41.896,-88.251,228,-6,Dfa,Cold & Very Cold,17043841501,lower density urban,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",M1
IN_ANDERSON-MUNI-AP,724385,40.117,-85.617,274,-5,Dfa,Cold & Very Cold,18095011200,suburban/small town,11300,"Anderson, IN Metro Area",M1
IN_COLUMBUS-BAKALAR,724363,39.267,-85.9,200,-5,Cfa,Cold & Very Cold,18005010400,suburban/small town,18020,"Columbus, IN Metro Area",M1
IN_DAVIESS-CO,720903,38.7,-87.13,143,-5,Cfa,Mixed-Humid,18027954400,rural,47780,"Washington, IN Micro Area",M2
IN_DE-KALB-CO-AP,720543,41.3,-85.067,268,-5,Dfa,Cold & Very Cold,18033020700,rural,12140,"Auburn, IN Micro Area",M2
IN_DELAWARE-CO-JOHNSON,725336,40.235,-85.394,285,-5,Dfa,Cold & Very Cold,18035002601,suburban/small town,34620,"Muncie, IN Metro Area",M1
IN_EAGLE-CREEK,724384,39.825,-86.296,247,-5,Cfa,Cold & Very Cold,18097310111,lower density urban,26900,"Indianapolis-Carmel, IN Metro Area",M1
IN_ELKHART-MUNI,725354,41.717,-85.983,237,-5,Dfa,Cold & Very Cold,18039001601,lower density urban,21140,"Elkhart-Goshen, IN Metro Area",M1
IN_EVANSVILLE-RGNL-AP,724320,38.05,-87.515,122,-6,Cfa,Mixed-Humid,18163010202,lower density urban,21780,"Evansville, IN-KY Metro Area",M1
IN_FULTON-CO-AP,720736,41.066,-86.182,241,-5,Dfa,Cold & Very Cold,18049953000,rural,,,
IN_GARY-CHICAGO,725337,41.617,-87.417,180,-6,Dfa,Cold & Very Cold,18089010304,lower density urban,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",M1
IN_GOSHEN,724388,41.527,-85.787,251,-5,Dfa,Cold & Very Cold,18039000301,suburban/small town,21140,"Elkhart-Goshen, IN Metro Area",M1
IN_GRISSOM-ARB,725335,40.65,-86.15,247,-5,Dfa,Cold & Very Cold,18103952900,suburban/small town,37940,"Peru, IN Micro Area",M2
IN_HUNTINGBURG,724365,38.249,-86.954,161,-5,Cfa,Mixed-Humid,18037953700,rural,27540,"Jasper, IN Micro Area",M2
IN_INDIANAPOLIS-EXEC-AP,720575,40.031,-86.251,281,-5,Dfa,Cold & Very Cold,18011810601,suburban/small town,26900,"Indianapolis-Carmel, IN Metro Area",M1
IN_JASPER-CO-AP,744660,40.948,-87.183,212,-5,Dfa,Cold & Very Cold,18073101100,rural,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",M1
IN_KNOX-STARKE-CO-AP,720593,41.333,-86.667,208,-6,Dfa,Cold & Very Cold,18149953700,rural,,,
